,beer_id,beer_name,abv,ibu,text,ibu_style_mean,bitter,style_name,brewery_name,city,state,country
0,1,Hocus Pocus,4.5,10.0,"Our take on a classic summer ale.  A toast to weeds, rays, and summer haze.  A light, crisp ale for mowing lawns, hitting lazy fly balls, and communing with nature, Hocus Pocus is offered up as a summer sacrifice to clodless days.

Its malty sweetness fin",17.5,0,Light American Wheat Ale or Lager,Magic Hat,South Burlington,Vermont,United States
1,27,Full Moon Winter Ale,5.6,10.0,This full-bodied ale is brewed with roasted malts and a hint of Dark Belgian sugar for a perfectly balanced taste.,30.0,0,Other Belgian-Style Ales,Molson Breweries of Canada,Toronto,Ontario,Canada
2,28,Odell IPA,7.0,10.0,"We took the traditional IPA, originally shipped from England to India in the 1700's, and made it bolder and more flavorful - American Style. We've added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incre",82.5,0,American-Style India Pale Ale,Odell Brewing,Fort Collins,Colorado,United States
3,29,Ornery Amber Lager,4.5,10.0,Ornery Amber is brewed with a blend of the finest European hops and gently roasted malts.,6.5,1,American-Style Lager,Tommyknocker Brewery and Pub,Idaho Springs,Colorado,United States
4,30,Cutthroat Porter,4.8,10.0,"Not quite a stout but definitely no lightweight, Cutthroat Porter is smooth and robust. Inspired by the classic London porters, we use dark roasted malts to create a deep, rich color and flavor that hint at chocolate and coffee. We named it Cutthroat Port",36.0,0,Porter,Odell Brewing,Fort Collins,Colorado,United States
5,31,Maple Nut Brown Ale Ale,4.5,10.0,Maple syrup is added to each barrel of Maple Nut Brown Ale to impart roasted sweetness balancing the nut flavor produced by chocolate malts.,30.0,0,American-Style Brown Ale,Tommyknocker Brewery and Pub,Idaho Springs,Colorado,United States
6,40,Quelque Chose,8.0,10.0,"Quelque Chose was launched in January 1996. This versatile beer was specifically developed as a winter beer because, when warmed to 70í_C (160í_F), it can be taken as a hot drink. On the other hand, on the rocks, it is a wonderful aperitif. The cherri",25.0,0,Belgian-Style Fruit Lambic,Unibroue,Chambly,Quebec,Canada
7,43,Maracaibo Especial,7.5,10.0,"A rich brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and ",30.0,0,American-Style Brown Ale,Jolly Pumpkin Artisan Ales,Dexter,Michigan,United States
8,45,Calabaza Blanca,4.8,10.0,"Aged in large oak casks and refermented in the bottle, Calabaza Blanca is a Belgian Biere Blanche. Spiced with orange peel and corriander, you'll find it refreshingly tart, with a wonderfully dry finish.",30.0,0,Other Belgian-Style Ales,Jolly Pumpkin Artisan Ales,Dexter,Michigan,United States
9,58,Furious Beer,6.0,10.0,"Like Hops? You'll like this fire-hued beer. This is the beer I have always dreamed of making. This is the beer that would come to mind while spending the last two years tearing down walls, hanging sheetrock, moving kegs, power washing the ceilings, arguin",82.5,0,American-Style India Pale Ale,Surly Brewing,Brooklyn Center,Minnesota,United States
10,59,Bender Beer,5.1,10.0,"This beer is an amalgamation of styles; brown/porter/apa. Five distinct malts, including two from Belgium, give this beer added complexity and depth. We also add oatmeal to this beer to give it a smooth texture not usually associated with this type of bee",30.0,0,American-Style Brown Ale,Surly Brewing,Brooklyn Center,Minnesota,United States
11,63,Isolation Ale,6.0,10.0,"Ever been in a warm, cozy cabin and had a secret desire to get snowed in? To celebrate the winter season, we offer our Isolation Ale - a traditional winter brew made with premium malts imported from England. It's just one of the reasons Isolation Ale stan",,0,Winter Warmer,Odell Brewing,Fort Collins,Colorado,United States
12,69,God Jul - Winter Ale,8.5,10.0,"A dark ale brewed specially for the Christmas season, with a rich, complex taste of caramel. This is a strong, dark and rather sweet Christmas Beer í¢äåäóì just the way we think a Christmas beer should be.",65.0,0,American-Style Stout,NÃ¸gne Ã˜ - Det KompromisslÃ¸se Bryggeri A/S,Grimstad,Lunde,Norway
13,71,Nut Cracker Ale,5.9,10.0,"Nutcracker Ale is Boulevardí¢äåä¢s holiday gift for real beer lovers. This hearty, warming brew is a classic winter ale, deep amber in color, with hints of molasses balanced by the í¢äåñspicinessí¢äå of freshly harvested Chinook hops.",,0,Winter Warmer,Boulevard Brewing Company,Kansas City,Missouri,United States
